name|university
James C. Bezdek|University of Rennes 1
Joel Chadabe|University of Jena
Mark A. Anastasio|University of Bath
Vasiliki Kantere|Nanyang Technological University
Huaifeng Zhang|Indian Institute of Technology Delhi
Daniele Baschieri|Tokyo University of Science
Anne V. D. M. Kayem|University of Central Florida
Ran Chen|Maastricht University
Huaming Huang|Utrecht University
Bharat K. Bhargava|Autonomous University of Barcelona
Mostafa Haghjoo|University of Washington   Seattle
Nassim Laga|University of Lausanne
Barbara Leporini|Rutgers University New Brunswick
Martin V. Butz|University of Tennessee Knoxville
Marco Sacchi|University of British Columbia
Mohamed Ben Ahmed|University of Massachusetts Medical School
Emil Åberg Karlsson|University of Duisburg Essen
I. Buvat|University of Konstanz
Anatoly Zankovsky|Columbia University
Neji Kouka|University at Buffalo The State University of New York
Werner Heijstek|RWTH Aachen University
Chunxiao Jiang|Thomas Jefferson University
Carlos Pedrinaci|Leiden University
Jaana Kekäläinen|University of Innsbruck
Enrico Nardelli|University of Texas at Austin
Marcella Mandanici|University of Groningen
Robert Goldblatt|University of Florida
Christos Doulkeridis|Swiss Federal Institute of Technology in Zurich
Effrosyni Mavroudi|Swiss Federal Institute of Technology in Lausanne
Malcolm C. Taylor|Humboldt University of Berlin
Kamalakar Karlapalem|University of Dundee
Salvatore Sessa 0002|Jagiellonian University
Alysson Neves Bessani|Zhejiang University
Fatima Bendella|Ruprecht Karl University of Heidelberg
Ralph Deters|National Taiwan University
Dominik P. H. Kalisch|University of Pittsburgh   Pittsburgh Campus
Ivan Miguel Pires|University of Miami
Ferdinando Di Martino|Ben Gurion University of the Negev
Nesrine Ouled Abdallah|Hokkaido University
Tomas Sander|University of Victoria
Shawn N. Murphy|University of Vienna
Chris Ding|Chonbuk National University
Adam Z. Wyner|Newcastle University
Sebastian Link|University of Tokushima
Evaggelia Pitoura|Karlsruhe Institute of Technology
Sandra Jhean-Larose|Medical University of South Carolina
Dimosthenis Anagnostopoulos|Syracuse University
Vaidy S. Sunderam|Delft University of Technology
Hakim Hacid|University of Leicester
Vlastislav Dohnal|Leiden University
Kleber Xavier Sampaio de Souza|University of California Berkeley
Baltasar Fernández-Manjón|University of Georgia
Ramesh Harjani|Shanghai Jiao Tong University
Peter Braun 0002|Osaka City University
Baowen Xu|Indiana University   Bloomington
Anthony Gelibert|Wesleyan University
Chenguang Yang|University of Texas Health Science Center at San Antonio
Haitang Feng|Hiroshima University
Devis Bianchini|Southern Methodist University
Abdul Malik Khan|Yokohama City University
Mohammed Ouassaid|Saarland University
Rachid Benali|Temple University
Fatih Gelgi|Virginia Commonwealth University
Guido Smits|Keio University
Nicolaas Ruberg|École normale supérieure de Lyon
Chantal Reynaud|University of Minnesota Twin Cities
Alain Senteni|University of Leeds
Chirine Ghedira|University of Bath
Jun Ohya|Korea Advanced Institute of Science and Technology (KAIST)
Ekaterina Ermilova|Kyoto University
Patrick E. O'Neil|Yokohama City University
Hanna Grzybowska|Queen's University
Miquel Mascaró|Wuhan University
Fabrice Theoleyre|University of Montreal
Kevin McNally|University of Twente
Andrea Caroppo|Juntendo University
Kurt Schneider|University of Oslo
Ester Giallonardo|Columbia University
Thomas Leich|Claude Bernard University Lyon 1
Paulo Barthelmess|Korea Advanced Institute of Science and Technology (KAIST)
Mary-Jane Sule|University of Ulsan
Gunther Uhlmann|University of Canterbury
John C. Miles|University of the Witwatersrand
Martin Birtel|Swiss Federal Institute of Technology in Lausanne
Christian Desrosiers|Technical University of Denmark
Ravi Kumar 0001|Yale University
Charles W. Groetsch|Harbin Institute of Technology
Yanif Ahmad|University of Bristol
Silvia Torsi|Queen Mary University of London
Makan Pourzandi|Washington University in St. Louis
Josif Grabocka|University of Aberdeen
Segev Wasserkrug|Federal University of Minas Gerais
Zhongliang Jing|University of Nebraska Omaha
Jason Cohen|University of Calgary
Saso Blazic|University of Amsterdam
Nerius Tradisauskas|Albert Ludwig University of Freiburg
Marco Brambilla 0001|University of Antwerp
Carlo Combi|University of New Hampshire
Hiroshi Yoshida|University of Siena
Franz Geiselbrechtinger|University of Lausanne
Louahdi Khoudour|Tohoku University
Andrew Donoghue|Huazhong University of Science and Technology
Dietmar P. F. Möller|Rockefeller University
Benjamin S. Cooper|Kyung Hee University
Manika Lamba|University of Notre Dame
Stefano Bistarelli|University of Cambridge
Samuel Mimram|University of Washington   Seattle
Aya Soffer|Chinese University of Hong Kong
Ramón F. Brena|Medical University of Vienna
Souad Damnée|Sungkyunkwan University
Toshihiko Nishio|Brunel University
Hossam Afifi|Brown University
Hyun Cheul Shin|University of Dundee
Yaxin Bi|University of Geneva
Chenglong Dai|Icahn School of Medicine at Mount Sinai
Jonathan M. Borwein|University of York
Le-Diem Bui|University of Bordeaux I
Cajetan M. Akujuobi|Southern Methodist University
Kamel Barkaoui|Creighton University
Floriano Zini|Swedish University of Agricultural Sciences
Djamel Amar Bensaber|University of Texas Health Science Center at Houston
Miltiadis Alamaniotis|University of Surrey
Luke Mathieson|University of Colorado Denver
Barbara Pernici|University of Ulm
Nadia Mesli|Swiss Federal Institute of Technology in Lausanne
Changjun Jiang|Miami University
Andrea Resmini|Rutgers University New Brunswick
Michael Wächter|Otto von Guericke University Magdeburg
Rajendra K. Raj|Tianjin University
Habibur Rahman|Colorado State University   Fort Collins
Marc Gyssens|University of Cologne
Apostolos V. Zarras|University of São Paulo
Sri Kurniawan|University of Western Australia
Louiza Mansour|Western University (The University of Western Ontario)
Anastasiya Sotnykova|University of São Paulo
Juan Valladares|University of Oklahoma   Norman Campus
Pasquale De Meo|University of Oslo
Nir A. Sochen|Wageningen University and Research Centre
Walter Dosch|Duke University
Jim Ungar|Stanford University
Thierry Val|Paris Diderot University   Paris 7
Jacobo Torán|Okayama University
Claudio Luis de Camargo Penteado|Albert Ludwig University of Freiburg
Christoph Koch 0001|Imperial College London
Babacar Mbaye Ndiaye|University of Warwick
Khalid Benali|University of Bergen
Heraldo Borges|University of Alabama   Tuscaloosa
Paul Wicks|Washington University in St. Louis
Zahari Zlatev|Technical University of Denmark
Peter Elbau|Duke University
Yann Gripay|University of Bari Aldo Moro
Leila Jemni Ben Ayed|University of Texas MD Anderson Cancer Center
Youyang Qu|University of Southern Denmark
Wenhui Yu|University of Colorado Denver
Michael A. Bauer 0001|University of New Mexico
Son Thanh Le|University of Florida
S. Bodart|Kyushu University
Josh C. Bongard|University of Rome Tor Vergata
Madeleine Davis-Moradkhan|Dalhousie University
Jean-François Peyret|University of Oregon
Yuichi Sei|University of Alberta
John Cardiff|Hong Kong University of Science and Technology
Armel Francklin Simo Tegueu|Brandeis University
Kenneth J. Turner|Duke University
Yusuf Tambag|Jagiellonian University
Hélène Kerhervé|University of Konstanz
Lora Aroyo|Yonsei University
Yuan Zhu|Brigham Young University
Silvia Mirri|University of Helsinki
Pupong Pongcharoen|University of Florida
Franco Milicchio|Dalian University of Technology
Florian Probst|Syracuse University
Divesh Srivastava|University of Louisville
Andrea Valsecchi|Pierre and Marie Curie University
Christiane Kamdem Kengne|Tokyo Institute of Technology
W. Marco Schorlemmer|Western University (The University of Western Ontario)
Guobin Chen|Niigata University
Nikolaos Sachpenderis|Free University of Berlin
David Hutchison 0001|Eindhoven University of Technology
Robert Earl Patterson|Hanyang University
Lorenzo Grigoletto|King's College London
Lucas Gonzales|Federal University of Minas Gerais
Fabian Moerchen|University of Saskatchewan
Alexander Serebrenik|Princeton University
Costantino Grana|Saarland University
Gordon S. Blair|University of North Carolina at Chapel Hill
Beihong Jin|University of Texas Health Science Center at Houston
Sunil Prabhakar|City College of New York
Vasco Ponciano|Florida State University
Athena Vakali|University of Duisburg Essen
Holger Lyre|University of Turku
Davide Mulfari|Charles University in Prague
Daniel Marcu|University of Florida
Alex 'Sandy' Pentland|Ruprecht Karl University of Heidelberg
Christos Paparizos|Leiden University
Wolfgang Roßmann|University of the Witwatersrand
Shaowen Zhou|University of Lorraine
Chris D. Marlin|Brigham Young University
Fawaz S. Bokhari|University of Jena
Edmund H. Durfee|City College of New York
Shobha Rani Dhalipathi|King's College London
Arti Dwivedi|Gyeongsang National University
Istvan Beszteri|Chonnam National University
Joël Dumoulin|National Taiwan University
Massimo Bartoletti|University of Massachusetts Amherst
Cyril Rabat|University College London
Deepnarayan Tiwari|Queen's University
Monica Mordonini|Xiamen University
Asok Ray|University of Melbourne
Frédéric Le Mouël|University of Bordeaux II
Svetlana Mansmann|Brandeis University
Tianping Hu|Wageningen University and Research Centre
Colette Johnen|University of Helsinki
Reiko Heckel|University of Vienna
Alejandro Jaimes|Rensselaer Polytechnic Institute
Jiangchao Wang|University of Waterloo
Rémi Clavier|Laval University
Olga Poppe|Louisiana State University   Baton Rouge
Max Halford|Brigham Young University
Yasmina Becis-Aubry|Federal University of Rio de Janeiro
Christopher W. Clifton|University of the Witwatersrand
Jean-Marc Pierson|University of Hawaii at Manoa
Philippe Rigaux|University of Michigan Ann Arbor
Hernâni Mourão|San Diego State University
Fano Ramparany|Arizona State University
Alain Würgler|Chinese University of Hong Kong
Michael Kirchhof|King's College London
Hans-Werner Gellersen|University of Houston
Kevin Bouchard|Medical University of South Carolina
Claude Bastien|University of Auckland
Peter M. Fischer 0001|University of Wisconsin–Madison
Cornelia Caragea|Technical University of Denmark
Djamshid Tavangarian|University of Notre Dame
Alan G. Labouseur|City University of Hong Kong
Jian Zou|Hannover Medical School
Linda Cornwall|University of Zurich
Lorenzo Sciavicco|Umeå University
Paul Renaud-Goud|University of Münster
Dario Bruneo|University of Florence
Michele Cancilla|Wesleyan University
Takoua Abdellatif|University of Connecticut
Leila Kheroua|Technical University of Madrid
Claudia Helena Breitfuss-Horner|Niigata University
Bibudh Lahiri|University of Pennsylvania
Edgar Armando Ahumada Solorza|Charles University in Prague
Chuan Shi|Virginia Polytechnic Institute and State University
Seán Baker|Tel Aviv University
Giovanni Semeraro|University of Manchester
Brett Borden|University of Dundee
Félix García Loro|University of Valencia
Mourad Ouziri|University of Helsinki
Dominique Lenne|University of Saskatchewan
Chamseddine Talhi|University of Bonn
Oded Goldreich 0001|Harbin Institute of Technology
Haoyu Huang|Aristotle University of Thessaloniki
George Kordatos|Boston University
Torben Weis|Zhejiang University
Shuvra S. Bhattacharyya|University of Pittsburgh   Pittsburgh Campus
Georgina Ramírez|University of Konstanz
Gunar Schirner|Monash University
Nadine Amrani|University of Strathclyde
Volker Gruhn|Technical University of Dortmund
Boris Koldehofe|Eindhoven University of Technology
Iain Gray|University of Arizona
Alberto Carvalho|King's College London
Mengjie Zhang 0001|University of Strasbourg
Andrei Alexandru|Georgetown University
Catia Prandi|Saarland University
Jin Cheng|George Mason University
Marie Thilliez|University of Lorraine
Matthias Hauswirth|Kyushu University
Xin-Jing Wang|University at Albany SUNY
Shilpa Bansod|University of Marburg
Sumita Barahmand|Utrecht University
César Viho|Beijing Normal University
Denis Dimitrov|George Mason University
Thomas Wachtler|Sun Yat sen University
Lambros Lambrinos|University of Nottingham
Albert Yu-Min Lin|Ghent University
Oleg V. Khamisov|Brunel University
Jennifer M. Larson|Tohoku University
Wolfgang W. Osterhage|University of Southern California
Patrick C. K. Hung|Katholieke Universiteit Leuven
Gonzalo Navarro|University of Bergen
Luca Gherardini|Monash University
Klaus Voss|Ohio University
Rémi Boulle|University of Düsseldorf
Christos G. Cassandras|London School of Economics
Laécio Carvalho de Barros|Middle East Technical University
Jehan Wickramasuriya|Johannes Gutenberg University of Mainz
Lisa Purvis|Charles University in Prague
Vipul Kashyap|University of Cambridge
Philippe Galand|Leiden University
Khaled Ben Letaief|University of Siena
Greg Groves|University of Calgary
Lyndon J. B. Nixon|Stellenbosch University
Steven M. Beitzel|Chiba University
Klaus Kuhn 0001|York University
Nicu Sebe|University of Texas Health Science Center at Houston
Johannes Terno|Medical University of Vienna
